Posting Date,Entry Type,Document Type,Document No.,Item No.,Description,Brand Code,Production Date,Expiration Date,Lot No.,Location Code,Quantity,Invoiced Quantity,Remaining Quantity,Net Weight,Quantity (Source UOM),Sales Amount (Actual),Cost Amount (Actual),Cost Amount (Non-Invtbl.),Open,Order Type,Entry No.,Item Category Code,Product Group Code
4/29/2019,Sale,Sales Shipment,SHP102866,01-35-001-CV,"CV Asparagus, 11 lb",,,4/22/2020,G-PFF-112,DURHAM,-1,-1,0,0,-1,55,-44,0,No, ,3471,ASPARAGUS,
4/29/2019,Sale,Sales Shipment,SHP102866,01-04-023-OG,"OG Green Kale, bunched, 24 ct...",,,4/24/2020,G-UH-114,DURHAM,-1,-1,0,-20,-1,34,-26,0,No, ,3470,KALES,
4/29/2019,Sale,Sales Shipment,SHP102866,01-11-007-NC,"Non-Cert. Red Slicing Tomatoes, 18 lb...",,,4/24/2020,G-STC-114,DURHAM,-1,-1,0,0,-1,46,-36,0,No, ,3469,TOMATOES,
4/29/2019,Sale,Sales Shipment,SHP102866,01-46-030-OG,"OG Covington Sweet Potatoes, 40 lb",,,4/26/2020,G-WT-116,DURHAM,-1,-1,0,-40,-1,42,-30,0,No, ,3468,SWEET POTATOES,
4/29/2019,Sale,Sales Shipment,SHP102866,03-26-001-NC,"Non-Cert. Canola Oil, Expeller-Pressed GMO-Fre",,,,BUG-075,DURHAM,-4,-4,0,0,-4,166.8,-123,0,No, ,3467,OIL,
4/29/2019,Sale,Sales Shipment,SHP102865,01-04-024-OG,"OG Green Kale, loose, 20 lb.",,,4/24/2020,G-CO-114,DURHAM,-1,-1,0,-20,-1,25.5,-18,0,No, ,3466,KALES,
4/29/2019,Sale,Sales Shipment,SHP102865,01-46-009-OG,"OG Covington Sweet Potatoes, JUMBO, 40 lb...",,,4/26/2020,G-WT-116,DURHAM,-4,-4,0,0,-4,104,-72,0,No, ,3465,SWEET POTATOES,
4/29/2019,Sale,Sales Shipment,SHP102865,01-18-007-NC,"Non-Cert. Butterhead Lettuce, 12 ct...",,,4/23/2020,LLU-113,DURHAM,-1,-1,0,0,-1,25.5,-18,0,No, ,3464,LETTUCE,
4/29/2019,Sale,Sales Shipment,SHP102864,03-34-026-NC,"Non-Cert. Sharp Cheddar Cheese, 8oz.",,,10/17/2019,ACC-114,DURHAM,-8,-8,0,-4.31,-8,30.82,-22.28,0,No, ,3463,GROCERY CHEESE,
4/29/2019,Sale,Sales Shipment,SHP102864,03-34-036-NC,Non-Cert. Monterey Jack Cheese. 8 oz.,,,9/21/2019,ACC-114,DURHAM,-8,-8,0,-4,-8,27.6,-31.3,0,No, ,3462,GROCERY CHEESE,
4/29/2019,Sale,Sales Shipment,SHP102864,02-01-025-OG,"OG Strawberries, 8 x 1 lb...",,,4/26/2020,G-UH-116,DURHAM,-6,-6,0,0,-6,156,-150,0,No, ,3461,BERRIES,
4/29/2019,Sale,Sales Shipment,SHP102863,03-26-001-NC,"Non-Cert. Canola Oil, Expeller-Pressed GMO-Fre",,,,BUG-075,DURHAM,-6,-6,0,0,-6,250.2,-184.5,0,No, ,3460,OIL,
